alpha_h,omega_h,delta_h,average_velocity,average_energy,success
0.1050429642403994,2.016824913415669,0.52,0.2070904804438621,0.172324,True
0.0872664625997164,2.676171519724639,0.52,0.2195266140904656,0.210659,True
0.1050429642403994,2.3464982165701542,0.52,0.2114703831554024,0.212339,True
0.0872664625997164,3.005844822879123,0.52,0.2262071357519792,0.23006,True
0.0872664625997164,2.3464982165701542,0.43,0.2363130781685211,0.233003,True
0.0872664625997164,2.676171519724639,0.43,0.227994140052621,0.241151,True
0.1050429642403994,2.676171519724639,0.52,0.2421738945061364,0.260877,True
0.1405959675217654,1.6871516102611852,0.52,0.2411131677547947,0.28337,True
0.0872664625997164,3.335518126033608,0.52,0.2359640528429793,0.287546,True
0.0872664625997164,3.005844822879123,0.43,0.2615310547206524,0.303351,True
0.1050429642403994,3.005844822879123,0.52,0.2544644795644399,0.308624,True
0.0872664625997164,3.665191429188092,0.52,0.2627696115815181,0.333907,True
0.1228194658810824,2.3464982165701542,0.52,0.2968670010761164,0.337573,True
0.1228194658810824,2.676171519724639,0.52,0.318505483646215,0.362949,True
0.0872664625997164,3.335518126033608,0.43,0.2938577640086954,0.370258,True
0.1050429642403994,3.335518126033608,0.52,0.291091504099282,0.395636,True
0.1583724691624484,2.016824913415669,0.52,0.2633424592639203,0.427801,True
0.1050429642403994,2.676171519724639,0.43,0.368450404032583,0.437643,True
0.0872664625997164,3.665191429188092,0.43,0.3195443593078391,0.438313,True
0.1228194658810824,3.005844822879123,0.52,0.3263315681836257,0.465665,True
0.1050429642403994,3.665191429188092,0.52,0.3198180528949507,0.480352,True
0.1583724691624484,2.3464982165701542,0.52,0.3141474767264679,0.485876,True
0.1050429642403994,3.335518126033608,0.43,0.3462196484432955,0.487978,True
0.3005844822879123,1.0278050039522162,0.52,0.2135430398505952,0.502616,True
0.1228194658810824,3.335518126033608,0.52,0.3561921138140834,0.547402,True
0.1050429642403994,3.665191429188092,0.43,0.3825291723356346,0.583123,True
0.1228194658810824,3.665191429188092,0.52,0.3804653537928798,0.62791,True
0.2117019740844973,2.016824913415669,0.52,0.355807192685491,0.632013,True
0.1761489708031314,2.676171519724639,0.52,0.3603318522582212,0.802331,True
0.1405959675217654,3.335518126033608,0.52,0.4525266289545842,0.83157,True
0.1405959675217654,3.665191429188092,0.52,0.4341300264215593,0.869937,True
0.1761489708031314,3.005844822879123,0.52,0.3960385307550121,0.934779,True
0.1939254724438143,2.676171519724639,0.52,0.4247296529197789,0.971323,True
0.1228194658810824,3.665191429188092,0.43,0.5109952285794928,0.984596,True
0.1939254724438143,3.005844822879123,0.52,0.4583952700081257,1.04489,True
0.1939254724438143,3.335518126033608,0.52,0.444732230250886,1.13272,True
0.1583724691624484,2.676171519724639,0.52,0.4872352441489778,1.17687,True
0.1761489708031314,3.335518126033608,0.52,0.444433743952182,1.20705,True
0.1583724691624484,3.335518126033608,0.43,0.5076046934172626,1.38173,True
0.1583724691624484,3.665191429188092,0.52,0.527471421146379,1.4702,True
0.1761489708031314,3.665191429188092,0.52,0.5055261856901995,1.5764,True
0.1939254724438143,3.665191429188092,0.52,0.4952262352385406,1.59617,True
0.2117019740844973,3.335518126033608,0.52,0.5994142531183647,2.40617,True
0.2117019740844973,3.665191429188092,0.52,0.6828613602396989,4.35946,True
