alpha_h,omega_h,delta_h,average_velocity,average_energy,success
0.46057299705405913,1.0278050039522162,0.26,0.0,0,False
0.9760915446338659,0.6981317007977318,0.26,0.0,0,False
0.3005844822879123,3.335518126033608,0.52,0.0,0,False
0.727220521664304,2.3464982165701542,0.43,0.0,0,False
0.3005844822879123,2.676171519724639,0.26,0.0,0,False
0.3183609839285953,3.6651914291880923,0.43,0.0,0,False
0.6027850101795231,1.0278050039522162,0.26,0.0,0,False
0.7449970233049871,3.6651914291880923,0.26,0.0,0,False
0.673891016742255,1.0278050039522162,0.43,0.0,0,False
0.691667518382938,3.6651914291880923,0.26,0.0,0,False
0.8161030298677189,1.0278050039522162,0.26,0.0,0,False
0.8516560331490849,0.6981317007977318,0.26,0.0,0,False
0.5316790036167912,2.3464982165701542,0.26,0.0,0,False
0.38946699049132727,1.6871516102611852,0.26,0.0,0,False
0.4961260003354252,2.3464982165701542,0.52,0.0,0,False
0.1761489708031314,2.676171519724639,0.52,0.3603318522582212,0.802331,True
0.10504296424039947,2.3464982165701542,0.43,0.27095168094548344,4.38145,False
0.5672320068981571,3.005844822879123,0.52,0.0,0,False
0.691667518382938,2.0168249134156695,0.26,0.0,0,False
1.0294210495559148,2.676171519724639,0.43,0.0,0,False
0.620561511820206,1.6871516102611852,0.52,0.352053045900208,21.6399,False
0.5316790036167912,2.0168249134156695,0.26,0.0,0,False
0.12281946588108246,0.6981317007977318,0.43,0.08725945319211624,1.86172,False
0.4072434921320102,2.676171519724639,0.26,0.0,0,False
0.8872090364304509,0.6981317007977318,0.52,0.0,0,False
0.691667518382938,1.3574783071067007,0.43,0.0,0,False
0.37169048885064426,1.6871516102611852,0.43,0.0,0,False
0.5139025019761081,2.676171519724639,0.52,0.0,0,False
0.15837246916244843,2.0168249134156695,0.26,0.23941249371297732,85.3567,False
0.3005844822879123,1.6871516102611852,0.43,0.0,369.281,False
0.2828079806472293,2.676171519724639,0.26,0.0,0,False
1.0116445479152318,2.0168249134156695,0.43,0.0,0,False
0.33613748556927825,1.3574783071067007,0.52,0.23817731566857536,5.09265,False
0.37169048885064426,2.0168249134156695,0.52,0.21237972340075983,56.2617,False
0.10504296424039947,2.0168249134156695,0.43,0.18984824335116945,3.53857,False
0.5672320068981571,0.6981317007977318,0.26,0.0,0,False
0.7094440200236211,2.676171519724639,0.43,0.0,0,False
0.21170197408449737,2.3464982165701542,0.26,0.0,0,False
0.1761489708031314,0.6981317007977318,0.26,0.0,0,False
0.833879531508402,3.335518126033608,0.52,0.0,0,False
1.0116445479152318,0.6981317007977318,0.52,0.0,0,False
0.3005844822879123,3.6651914291880923,0.43,0.0,0,False
0.2294784757251804,3.6651914291880923,0.52,0.6523794364763104,16.1492,False
0.4783494986947422,3.6651914291880923,0.26,0.0,0,False
0.9760915446338659,0.6981317007977318,0.43,0.0,0,False
1.0294210495559148,2.3464982165701542,0.43,0.0,0,False
0.5850085085388401,2.676171519724639,0.52,0.0,0,False
0.8161030298677189,0.6981317007977318,0.52,0.0,0,False
0.7627735249456701,0.6981317007977318,0.43,0.23212705912824594,216.016,False
1.0471975511965976,0.6981317007977318,0.43,0.0,0,False
0.8872090364304509,3.005844822879123,0.26,0.0,0,False
0.24725497736586335,2.3464982165701542,0.26,0.0,0,False
0.5850085085388401,2.0168249134156695,0.52,0.4281770692453626,95.4733,False
0.14059596752176542,3.335518126033608,0.52,0.45252662895458423,0.83157,True
0.8694325347897679,2.0168249134156695,0.52,0.0,0,False
1.0116445479152318,2.0168249134156695,0.52,0.0,0,False
0.4250199937726933,3.6651914291880923,0.43,0.0,0,False
0.9938680462745488,2.676171519724639,0.26,0.0,0,False
0.3005844822879123,1.0278050039522162,0.52,0.21354303985059522,0.502616,True
0.3183609839285953,1.3574783071067007,0.52,0.23584750626308654,5.49696,False
0.8161030298677189,3.005844822879123,0.52,0.0,0,False
0.1761489708031314,1.3574783071067007,0.52,0.22666588762080592,1.49047,False
0.9938680462745488,3.005844822879123,0.26,0.0,0,False
0.656114515101572,2.3464982165701542,0.26,0.0,0,False
0.9938680462745488,1.0278050039522162,0.26,0.0,0,False
0.14059596752176542,3.335518126033608,0.26,0.38152783944998897,9.46027,False
0.798326528227036,1.0278050039522162,0.43,0.0,0,False
0.33613748556927825,0.6981317007977318,0.43,0.24115173027971928,7.53955,False
0.656114515101572,1.3574783071067007,0.26,0.0,0,False
0.833879531508402,2.676171519724639,0.52,0.0,0,False
