alpha_h,omega_h,delta_h,average_velocity,average_energy,success
0.4072434921320102,1.0278050039522162,0.43,0.23061133617969062,11.4459,False
0.798326528227036,2.3464982165701542,0.52,0.0,0,False
0.3183609839285953,2.3464982165701542,0.43,0.0,0,False
0.5850085085388401,0.6981317007977318,0.43,0.20647443941611,19.3295,False
0.4250199937726933,0.6981317007977318,0.43,0.22774189857754829,13.0742,False
0.7805500265863531,2.3464982165701542,0.26,0.0,0,False
0.14059596752176542,2.676171519724639,0.43,0.3189873982365178,4.8298,False
0.6027850101795231,3.335518126033608,0.52,0.0,0,False
0.19392547244381436,3.335518126033608,0.43,0.6081712872175487,9.67489,False
0.7449970233049871,2.3464982165701542,0.26,0.0,0,False
0.7449970233049871,2.3464982165701542,0.43,0.0,0,False
0.4250199937726933,1.6871516102611852,0.26,0.0,0,False
0.46057299705405913,3.6651914291880923,0.26,0.0,0,False
1.0116445479152318,1.6871516102611852,0.52,0.0,0,False
0.46057299705405913,1.3574783071067007,0.43,0.0,0,False
0.9405385413524998,1.3574783071067007,0.52,0.0,0,False
0.4961260003354252,2.676171519724639,0.43,0.0,0,False
0.9049855380711338,1.0278050039522162,0.43,0.0,0,False
0.19392547244381436,2.3464982165701542,0.43,0.5601677318716266,12.4438,False
0.9049855380711338,3.335518126033608,0.26,0.0,0,False
0.4250199937726933,2.3464982165701542,0.52,0.0,0,False
0.08726646259971647,2.3464982165701542,0.43,0.23631307816852118,0.233003,True
0.7805500265863531,2.0168249134156695,0.43,0.0,0,False
0.38946699049132727,2.0168249134156695,0.43,0.0,0,False
1.0294210495559148,2.0168249134156695,0.26,0.0,0,False
0.24725497736586335,2.676171519724639,0.43,0.0,0,False
0.3183609839285953,1.3574783071067007,0.43,0.3857198320025918,61.3812,False
0.35391398720996126,3.005844822879123,0.43,0.0,0,False
0.7627735249456701,3.335518126033608,0.52,0.0,0,False
0.9583150429931829,3.335518126033608,0.26,0.0,0,False
0.5139025019761081,3.005844822879123,0.26,0.0,0,False
0.5494555052574742,1.3574783071067007,0.26,0.0,0,False
0.2294784757251804,3.005844822879123,0.52,0.5556833659619321,10.8432,False
0.691667518382938,2.0168249134156695,0.43,0.0,0,False
0.9227620397118168,1.0278050039522162,0.52,0.0,0,False
0.8516560331490849,3.6651914291880923,0.52,0.0,0,False
1.0471975511965976,3.005844822879123,0.43,0.0,0,False
0.46057299705405913,3.005844822879123,0.43,0.0,0,False
0.7094440200236211,2.3464982165701542,0.26,0.0,0,False
0.833879531508402,2.676171519724639,0.43,0.0,0,False
0.691667518382938,0.6981317007977318,0.26,0.0,0,False
0.3005844822879123,3.005844822879123,0.52,0.5119611086955793,205.691,False
0.15837246916244843,1.0278050039522162,0.43,0.18586785315506987,4.61574,False
0.24725497736586335,3.005844822879123,0.26,0.0,0,False
0.9405385413524998,3.335518126033608,0.52,0.0,0,False
0.798326528227036,0.6981317007977318,0.52,0.0,0,False
0.620561511820206,2.676171519724639,0.26,0.0,0,False
0.12281946588108246,2.3464982165701542,0.43,0.1901979755692502,4.76273,False
0.620561511820206,0.6981317007977318,0.52,0.1325706537201204,17.452,False
0.9227620397118168,3.005844822879123,0.26,0.0,0,False
0.33613748556927825,2.0168249134156695,0.52,0.3739978314027266,27.384,False
0.656114515101572,1.6871516102611852,0.52,0.0,0,False
0.10504296424039947,2.3464982165701542,0.26,0.26555503455354107,5.72415,False
0.5139025019761081,3.005844822879123,0.52,0.0,0,False
0.5316790036167912,2.0168249134156695,0.52,0.0,0,False
0.833879531508402,2.3464982165701542,0.43,0.0,0,False
0.5672320068981571,2.676171519724639,0.43,0.0,0,False
0.673891016742255,2.676171519724639,0.26,0.0,0,False
0.14059596752176542,2.3464982165701542,0.52,0.4332257610791997,6.78716,False
0.37169048885064426,2.676171519724639,0.26,0.0,0,False
0.10504296424039947,1.0278050039522162,0.52,0.08479388424909429,1.6406,False
0.9938680462745488,3.335518126033608,0.26,0.0,0,False
0.7627735249456701,1.0278050039522162,0.43,0.0,0,False
0.691667518382938,3.005844822879123,0.52,0.0,0,False
0.798326528227036,0.6981317007977318,0.43,0.0,0,False
0.1761489708031314,3.6651914291880923,0.26,0.0,0,False
